feature,group,recommendation,rationale,transform_note
dist_nearest_subway,지하철 접근성,use_with_transform,왜도 3.29; 방향성이 명확한 접근성 변수,"원본은 km 추정, 시각화만 m 변환; clustering 전 scaling/log 변환 검토"
num_subway_500m,지하철 접근성,caution,0값 비율 18.06%; IQR이 0이라 IQR 이상치 기준 해석 주의; 해석은 쉽지만 이산형 변수,
nearest_subway_ridership,지하철 접근성,caution,결측률 1.17%; 왜도 1.37; 역세권 규모를 직접 반영,log1p 변환 검토
subway_ridership_500m,지하철 접근성,caution,왜도 1.48; 0값 비율 18.36%; 0값은 500m 내 역 없음의 구조적 값일 수 있음,log1p 변환 검토
num_competing_cafes_500m,상권 밀도,caution,"중복 가능 변수: num_restaurants_500m (0.93), num_convenience_500m (0.83)",
num_restaurants_500m,상권 밀도,caution,"중복 가능 변수: num_competing_cafes_500m (0.93), num_convenience_500m (0.87)",
num_retail_500m,상권 밀도,use_with_transform,왜도 2.71,log1p 변환 후 사용 권장
num_convenience_500m,상권 밀도,caution,"중복 가능 변수: num_competing_cafes_500m (0.83), num_restaurants_500m (0.87)",
avg_income,인구/경제,caution,결측률 3.82%,scaling 후 사용 권장
num_offices,인구/경제,caution,결측률 4.41%; 왜도 1.85,log1p 변환 후 사용 권장
living_population,인구/경제,caution,결측률 4.26%; 왜도 1.32,log1p 변환 검토
land_price,인구/경제,use_with_transform,왜도 1.93,log1p 변환 후 사용 권장
